transaction_id,user_id,transaction_date,amount,transaction_type,status,payment_method,device_type
T00001794,U001631,2023-11-07 07:30:11,40.02,Wallet Load,Success,Credit Card,Android
T00008490,U005009,2024-10-02 15:46:54,49.6,Wallet Load,Success,Debit Card,Android
T00031109,U011774,2023-12-22 03:51:21,107.0,P2P Transfer,Success,Debit Card,Android
T00045411,U001509,2023-12-02 13:24:56,71.87,P2P Transfer,Success,Debit Card,Android
T00031761,U003286,2024-04-14 02:42:48,270.31,Wallet Load,Refunded,Net Banking,iOS
T00002993,U009841,2023-04-16 09:58:28,61.13,Bill Payment,Success,Credit Card,iOS
T00023229,U008603,2023-04-18 14:38:00,137.48,Wallet Load,Success,Debit Card,Android
T00020136,U000158,2024-06-11 17:17:14,587.56,Card Spend,Success,Credit Card,iOS
T00027488,U002099,2024-07-16 04:37:26,77.04,Bill Payment,Success,Debit Card,iOS
T00035886,U001470,2025-02-27 23:36:22,97.7,P2P Transfer,Refunded,UPI,iOS
T00021115,U009583,2023-08-26 10:50:33,55.5,Wallet Load,Success,UPI,Web
T00034669,U010253,2023-12-07 00:18:36,184.44,Bill Payment,Success,Credit Card,Web
T00029727,U010725,2023-07-11 12:36:15,120.65,Bill Payment,Success,Credit Card,Android
T00002970,U001584,2024-12-22 16:57:28,108.29,Card Spend,Success,UPI,Android
T00014712,U009083,2023-09-16 09:18:38,112.82,P2P Transfer,Success,Debit Card,Android
T00041467,U005453,2023-12-05 23:04:32,36.79,Wallet Load,Success,Net Banking,Android
T00031842,U006826,2023-02-11 09:08:49,69.16,Wallet Load,Success,Wallet,Android
T00018844,U011795,2023-10-06 08:56:18,35.27,Bill Payment,Success,UPI,iOS
T00048810,U008958,2024-02-01 03:10:15,46.42,Card Spend,Success,UPI,Web
T00016427,U005316,2023-06-13 17:29:22,63.28,Bill Payment,Success,UPI,Android
T00011360,U002464,2023-11-19 01:16:12,192.33,Card Spend,Success,Net Banking,Web
T00027586,U007884,2025-01-10 18:21:50,191.16,Investment,Success,Debit Card,Android
T00040580,U003102,2023-04-15 17:10:12,9.37,P2P Transfer,Success,Net Banking,Android
T00024760,U011072,2024-06-16 08:59:32,35.92,Wallet Load,Success,Debit Card,Web
T00007184,U009806,2024-08-27 08:16:32,166.32,Wallet Load,Success,Debit Card,iOS
T00044017,U007959,2025-03-13 03:21:04,209.59,Bill Payment,Failed,UPI,Android
T00038978,U003411,2024-10-20 17:41:48,23.88,P2P Transfer,Success,Net Banking,Android
T00004017,U008277,2023-03-09 16:27:47,95.49,Bill Payment,Success,Debit Card,Android
T00025240,U004276,2023-07-05 05:32:17,186.03,Bill Payment,Success,Debit Card,iOS
T00010709,U005249,2024-05-03 07:02:00,171.38,Investment,Success,Debit Card,Android
T00037766,U004958,2023-10-12 21:11:28,144.4,Bill Payment,Success,Debit Card,Android
T00002192,U009376,2023-02-08 04:40:46,231.84,Bill Payment,Success,Credit Card,Android
T00010269,U000537,2024-07-04 19:44:18,211.4,P2P Transfer,Failed,Debit Card,iOS
T00043054,U005676,2024-02-21 18:08:19,153.15,Bill Payment,Success,UPI,Web
T00040760,U004835,2024-03-04 15:04:30,-10.0,Wallet Load,Success,Net Banking,Android
T00045871,U001543,2023-01-06 12:03:44,29.68,Bill Payment,Failed,UPI,Android
T00035486,U007190,2023-09-26 02:48:41,188.09,Card Spend,Success,UPI,Android
T00023265,U005095,2024-07-29 08:29:37,123.35,Bill Payment,Success,UPI,Web
T00021765,U006805,2024-08-02 14:42:49,23.55,Wallet Load,Success,Credit Card,iOS
T00025150,U002554,2023-05-18 18:01:31,145.52,Investment,Pending,UPI,Android
T00039251,U009447,2024-10-26 20:02:26,64.18,P2P Transfer,Pending,Wallet,Android
T00014866,U006183,2024-06-18 17:32:33,73.94,Wallet Load,Success,Debit Card,iOS
T00036695,U008502,2023-09-21 04:49:40,96.99,P2P Transfer,Failed,UPI,iOS
T00019242,U002093,2024-07-17 15:17:28,65.07,Investment,Success,UPI,Android
T00017596,U005398,2023-04-11 16:13:35,60.89,Card Spend,Success,Debit Card,iOS
T00033846,U011179,2023-10-21 00:40:13,131.73,P2P Transfer,Success,Debit Card,Android
T00041598,U011924,2023-01-20 22:27:26,76.86,Wallet Load,Success,UPI,Android
T00034672,U002562,2023-01-05 06:54:26,153.89,Wallet Load,Failed,Wallet,iOS
T00019102,U010988,2024-05-22 09:15:24,42.46,Card Spend,Success,UPI,Android
T00007030,U005435,2025-03-03 08:02:15,145.83,Bill Payment,Success,Credit Card,Android
T00050186,U000411,2023-08-17 01:44:09,19.0,Bill Payment,Success,UPI,Android
T00027014,U009345,2024-01-18 17:27:43,126.7,Wallet Load,Failed,UPI,iOS
T00010997,U000123,2024-02-25 09:45:13,197.37,P2P Transfer,Success,Debit Card,iOS
T00013612,U006224,2025-01-02 03:34:33,68.21,Bill Payment,Success,UPI,iOS
T00003777,U004193,2024-06-24 11:40:22,30.22,Wallet Load,Failed,UPI,Android
T00000382,U007372,2023-09-08 07:53:05,220.43,Card Spend,Success,Debit Card,Android
T00026435,U000667,2023-02-05 01:25:24,513.78,Card Spend,Failed,UPI,Android
T00044698,U004677,2024-04-08 15:32:20,81.65,Bill Payment,Success,UPI,Android
T00022409,U010281,2024-10-29 02:00:14,194.88,P2P Transfer,Success,Debit Card,Android
T00019498,U003996,2024-06-20 08:36:36,77.57,Bill Payment,Success,Credit Card,Android
T00040433,U001256,2023-12-21 07:51:28,211.76,P2P Transfer,Refunded,UPI,Web
T00010874,U007452,2023-11-18 09:54:52,275.89,Card Spend,Success,Debit Card,Web
T00023263,U003057,2024-02-15 20:21:26,16.1,Wallet Load,Pending,UPI,Android
T00015084,U004498,2023-05-16 11:51:08,2350.55,Card Spend,Failed,Wallet,iOS
T00035325,U002437,2024-03-12 10:51:53,85.13,Card Spend,Success,Credit Card,Android
T00001228,U006289,2024-08-26 10:20:54,179.11,Bill Payment,Success,Net Banking,Android
T00005564,U001327,2025-03-27 00:14:59,66.82,P2P Transfer,Success,Credit Card,Android
T00008242,U000388,2024-07-13 11:18:50,35.71,Card Spend,Pending,UPI,Android
T00050492,U008983,2023-12-09 14:07:19,77.15,P2P Transfer,Success,UPI,Android
T00004570,U004371,2023-11-27 09:53:15,101.68,Investment,Success,Debit Card,iOS
T00017521,U004925,2023-08-30 11:04:23,118.25,Bill Payment,Failed,Credit Card,Android
T00039138,U009589,2024-05-19 18:29:07,202.65,P2P Transfer,Refunded,Credit Card,Android
T00044083,U001053,2024-03-17 14:25:53,1512.97,P2P Transfer,Success,Debit Card,Android
T00031573,U006550,2024-04-03 08:27:23,92.29,Bill Payment,Success,UPI,Android
T00045165,U000251,2023-09-27 06:30:43,96.31,Card Spend,Success,Net Banking,Android
T00006294,U010913,2024-01-03 13:56:00,88.33,Bill Payment,Success,UPI,iOS
T00000477,U007331,2023-11-17 08:51:06,64.98,Investment,Success,UPI,Android
T00049900,U008802,2024-11-23 22:15:26,198.83,Wallet Load,Success,Net Banking,Android
T00028051,U000689,2025-03-16 13:29:07,84.91,Investment,Failed,Debit Card,Android
T00047006,U004635,2024-01-31 00:49:26,26.28,Bill Payment,Success,Debit Card,Android
T00029923,U008576,2024-11-04 00:44:48,161.26,P2P Transfer,Success,Credit Card,Android
T00036467,U011394,2023-01-12 03:48:59,117.42,Bill Payment,Failed,Credit Card,Web
T00007452,U007649,2023-11-01 12:19:43,101.4,Wallet Load,Refunded,Credit Card,Android
T00034008,U007696,2023-01-24 19:07:22,136.92,P2P Transfer,Success,Debit Card,iOS
T00031944,U000096,2023-09-30 23:51:08,26.18,Wallet Load,Success,UPI,iOS
T00005654,U002825,2023-11-09 08:41:48,110.27,P2P Transfer,Success,UPI,iOS
T00037839,U010616,2023-09-19 09:54:19,62.04,Wallet Load,Success,Credit Card,Android
T00040972,U000563,2025-02-22 08:54:04,159.35,Wallet Load,Success,UPI,Android
T00023377,U007945,2023-02-15 18:19:13,97.96,Card Spend,Success,UPI,iOS
T00047636,U000537,2023-01-31 15:04:23,234.51,Card Spend,Success,Credit Card,Android
T00032385,U004041,2024-01-17 11:47:54,19.92,Card Spend,Success,UPI,iOS
T00045250,U007045,2024-12-03 16:35:12,36.13,Bill Payment,Success,Credit Card,Android
T00012484,U003659,2024-04-17 09:10:46,27.78,P2P Transfer,Failed,Debit Card,iOS
T00007773,U005491,2023-04-18 19:55:18,134.45,P2P Transfer,Success,UPI,Android
T00014184,U003295,2023-03-07 06:38:10,162.49,Bill Payment,Success,UPI,Android
T00035331,U009865,2024-10-26 19:17:49,136.75,Wallet Load,Success,Wallet,iOS
T00006649,U002109,2023-07-25 18:50:42,310.65,bill payment ,Success,UPI,Android
T00042142,U005838,2025-03-26 07:34:07,233.9,Card Spend,Success,Debit Card,Android
T00010631,U008349,2024-05-02 21:45:21,224.52,Bill Payment,Success,Net Banking,Android
T00032460,U010125,2024-07-25 18:55:52,118.0,Wallet Load,Success,Credit Card,Android
T00034406,U003300,2024-02-29 14:21:25,69.93,Bill Payment,Success,Debit Card,Android
T00011029,U011456,2024-11-22 08:46:11,83.37,P2P Transfer,FAILED,Debit Card,iOS
T00019233,U002855,2023-01-05 05:36:35,175.58,Investment,Success,UPI,Android
T00023819,U006112,2025-03-29 12:04:44,132.07,Bill Payment,Success,UPI,iOS
T00045111,U008195,2023-06-07 23:26:17,47.71,Wallet Load,Success,Debit Card,Web
T00033184,U011147,2024-12-16 22:00:12,57.43,Wallet Load,Success,Credit Card,iOS
T00042578,U009475,2023-12-21 13:22:24,180.91,Wallet Load,Success,Debit Card,iOS
T00048227,U000862,2025-01-09 07:12:13,129.74,Bill Payment,Success,Debit Card,iOS
T00002639,U010536,2024-08-09 12:27:49,86.77,Investment,Success,Credit Card,Android
T00016602,U001766,2025-03-03 05:59:25,57.29,Wallet Load,Success,UPI,Android
T00003805,U005527,2023-03-21 13:27:32,456.3,Card Spend,Success,Net Banking,Web
T00006384,U011546,2023-12-15 18:06:04,257.06,Card Spend,Success,UPI,Web
T00024466,U008740,2023-06-21 20:23:33,246.48,Wallet Load,Success,Credit Card,Android
T00013823,U010208,2023-09-18 18:32:39,208.1,P2P Transfer,Success,Wallet,Android
T00015559,U010423,2024-09-23 06:31:35,154.33,Wallet Load,Success,UPI,Android
T00009502,U008163,2024-02-05 20:00:48,48.02,Investment,Success,UPI,iOS
T00018251,U009455,2023-12-25 11:12:07,66.2,P2P Transfer,Success,Wallet,iOS
T00024494,U002218,2024-11-26 16:54:00,61.74,Investment,Success,Credit Card,Android
T00033513,U004191,2024-09-09 07:28:43,86.88,Wallet Load,Success,Debit Card,Android
T00016934,U005907,2024-04-06 07:05:04,36.49,P2P Transfer,Success,Credit Card,iOS
T00024664,U005214,2024-04-26 02:06:22,38.06,Card Spend,Success,Debit Card,Android
T00037309,U000108,2023-03-11 17:55:58,457.97,P2P Transfer,Success,Wallet,iOS
T00045069,U002611,2023-05-06 14:40:48,264.69,P2P Transfer,Success,Credit Card,Android
T00048962,U008163,2024-05-29 04:41:15,28.09,Bill Payment,Success,UPI,Android
T00050768,U001879,2025-03-30 20:56:12,29.13,Wallet Load,Success,Credit Card,iOS
T00031952,U006913,2023-04-20 07:51:16,155.5,Wallet Load,Success,Debit Card,Android
T00000709,U011188,2025-02-19 10:57:42,61.28,Wallet Load,Success,UPI,Web
T00027727,U008808,2024-06-03 09:33:59,20.25,P2P Transfer,Success,UPI,iOS
T00051646,U009714,2024-04-11 11:32:08,49.56,Wallet Load,Success,Credit Card,Web
T00042478,U003416,2023-10-27 03:32:33,115.26,P2P Transfer,Refunded,UPI,Android
T00046291,U004462,2023-07-19 10:46:30,134.18,Wallet Load,Success,UPI,iOS
T00022979,U008699,2024-08-19 08:18:02,138.81,P2P Transfer,Success,Debit Card,Android
T00009382,U007067,2023-12-24 20:41:24,248.41,P2P Transfer,Success,UPI,Android
T00020854,U000216,2024-12-17 07:34:50,131.88,P2P Transfer,Success,UPI,Android
T00018664,U002175,2023-09-07 04:37:40,0.0,P2P Transfer,Success,Wallet,Android
T00039051,U001400,2024-07-03 21:06:18,591.82,Card Spend,Success,Debit Card,Android
T00013095,U009418,2023-10-27 22:47:21,145.43,Bill Payment,Success,UPI,Android
T00000891,U011786,2023-09-01 21:29:09,71.26,P2P Transfer,Pending,UPI,Android
T00040791,U010650,2024-09-12 04:19:43,96.91,Wallet Load,Success,UPI,Android
T00041234,U003272,2023-09-22 03:11:35,30.8,Wallet Load,Success,Credit Card,Android
T00011876,U004726,2024-04-22 04:45:54,170.44,P2P Transfer,Success,Wallet,Android
T00000386,U007272,2023-01-11 23:47:20,65.06,Bill Payment,Failed,Debit Card,Web
T00041096,U000620,2023-03-27 04:21:06,145.58,P2P Transfer,Success,UPI,Android
T00002742,U001471,2024-01-02 12:16:57,67.18,Card Spend,Failed,Debit Card,Android
T00000430,U003180,2024-08-23 12:56:26,106.36,P2P Transfer,Success,Net Banking,Android
T00032966,U000637,2025-01-14 17:27:27,249.79,Wallet Load,Success,UPI,Web
T00001165,U008506,2023-12-26 03:05:30,202.31,Bill Payment,Success,UPI,Web
T00002009,U002634,2023-11-07 23:16:14,23.11,P2P Transfer,Success,UPI,Android
T00033819,U004285,2024-05-22 09:36:10,243.24,Bill Payment,Success,UPI,iOS
T00040055,U010454,2023-11-21 13:06:14,49.51,Wallet Load,Failed,Net Banking,iOS
T00006743,U008098,2023-05-29 07:01:45,149.91,Card Spend,Pending,Credit Card,iOS
T00010105,U007754,2023-01-27 01:06:01,99.65,Bill Payment,Success,Credit Card,Android
T00045991,U008119,2024-11-12 02:00:34,304.46,Wallet Load,Success,Net Banking,Android
T00005947,U006487,2024-11-17 01:58:53,63.62,P2P Transfer,Success,Wallet,Android
T00024789,U004300,2024-09-10 10:41:18,24.15,P2P Transfer,Success,Debit Card,iOS
T00020661,U003328,2024-06-10 11:35:26,86.05,P2P Transfer,Success,UPI,Android
T00026851,U000052,2024-11-11 07:52:26,30.68,Wallet Load,Success,Debit Card,Android
T00043657,U006555,2024-07-28 21:57:14,64.11,Wallet Load,Success,UPI,Android
T00049522,U002996,2024-09-11 12:30:19,68.83,Bill Payment,Success,Net Banking,Android
T00036266,U011680,2023-03-28 01:00:03,102.99,Investment,Pending,UPI,Android
T00045208,U007843,2023-11-17 17:20:33,121.32,P2P Transfer,Success,Net Banking,Web
T00039563,U008434,2024-05-23 05:40:22,66.93,P2P Transfer,Success,Credit Card,Android
T00018553,U007326,2023-03-05 08:13:53,102.94,P2P Transfer,Success,UPI,Android
T00007639,U011850,2023-12-20 13:27:46,21.39,Investment,Success,UPI,iOS
T00006651,U010886,2024-07-26 22:11:33,110.85,Bill Payment,Success,Credit Card,iOS
T00038316,U007555,2024-03-21 00:23:02,52.35,Card Spend,Success,Net Banking,Android
T00000041,U007711,2023-12-01 16:50:13,19.36,Bill Payment,Success,UPI,Android
T00000891,U011786,2023-09-01 21:29:09,71.26,P2P Transfer,Pending,UPI,Android
T00020871,U010026,2024-03-14 21:01:51,46.74,P2P Transfer,Success,Net Banking,Android
T00001181,U008029,2025-01-25 18:11:53,155.28,P2P Transfer,Success,,iOS
T00026983,U006502,2024-04-29 19:27:47,105.21,P2P Transfer,Success,UPI,iOS
T00032958,U008395,2023-07-13 04:54:34,63.98,Card Spend,Success,UPI,Android
T00018907,U001703,2024-02-10 19:17:35,105.37,P2P Transfer,Failed,Net Banking,iOS
T00031264,U007949,2024-10-04 17:39:17,64.06,P2P Transfer,Success,UPI,Android
T00046252,U001761,2025-01-12 02:01:49,233.29,Card Spend,Success,UPI,Android
T00035076,U010060,2023-09-17 09:47:03,38.17,Bill Payment,Success,Credit Card,iOS
T00014805,U002121,2023-10-28 00:27:53,241.34,P2P Transfer,Success,UPI,iOS
T00047075,U004979,2023-12-09 14:54:43,38.07,Wallet Load,Success,Wallet,Android
T00040224,U005196,2024-06-07 21:24:46,61.2,Investment,Success,UPI,Android
T00004213,U011298,2024-10-19 15:47:09,60.65,Card Spend,Refunded,Debit Card,iOS
T00036142,U001384,2023-01-16 00:49:45,465.47,P2P Transfer,Success,Net Banking,Web
T00050108,U005391,2023-02-05 03:32:15,127.04,Card Spend,Failed,Debit Card,Android
T00032441,U007956,2023-01-31 04:57:29,51.14,Wallet Load,Success,Debit Card,Android
T00051276,U003216,2023-11-14 09:35:28,47.86,Card Spend,Success,Wallet,Android
T00019464,U002785,2024-12-22 23:29:36,273.58,Bill Payment,Success,Wallet,iOS
T00041395,U002971,2023-01-16 04:00:51,112.21,P2P Transfer,Success,UPI,iOS
T00035764,U000710,2023-12-30 19:16:14,71.52,Card Spend,Success,UPI,Android
T00012737,U006062,2023-12-03 04:34:05,24.65,Card Spend,Success,Wallet,Android
T00031049,U008921,2024-01-17 03:45:50,112.48,Bill Payment,Pending,UPI,Web
T00025488,U007881,2024-09-20 11:54:52,134.14,Card Spend,Pending,Credit Card,Android
T00015412,U011964,2024-02-25 16:43:00,402.58,Bill Payment,Success,Debit Card,Android
T00012475,U005907,2023-12-11 09:03:42,1204.61,Wallet Load,Success,Credit Card,iOS
T00008782,U001349,2023-03-12 07:02:44,244.56,P2P Transfer,Success,UPI,iOS
T00021164,U002606,2024-02-20 11:37:08,93.5,Wallet Load,Success,Debit Card,iOS
T00038593,U005820,2024-08-01 12:12:24,74.55,Bill Payment,Failed,Net Banking,iOS
T00029036,U001188,2023-08-18 08:18:28,42.51,Investment,Pending,Credit Card,Android
T00009524,U005632,2023-06-02 22:50:39,70.04,Investment,Success,Debit Card,Web
T00049648,U003764,2023-04-08 08:39:26,121.46,Bill Payment,Success,UPI,Android
T00016027,U009617,2023-12-04 12:04:11,48.63,P2P Transfer,Success,UPI,Android
T00025058,U002645,2024-02-28 03:38:14,75.43,Investment,Success,Debit Card,iOS
T00004166,U005629,2023-12-25 13:03:54,101.18,P2P Transfer,Failed,UPI,iOS
T00023541,U003041,2023-02-26 15:23:56,256.8,Bill Payment,Success,Credit Card,Android
T00007143,U010769,2025-01-25 17:13:58,161.45,Card Spend,Success,Debit Card,Android
T00011248,U008839,2025-03-20 22:05:31,175.78,P2P Transfer,Success,UPI,Android
T00038504,U010409,2024-02-11 17:51:35,68.49,Investment,Success,UPI,iOS
T00043466,U002219,2024-01-15 15:13:00,821.98,Bill Payment,Success,UPI,Android
T00024107,U010101,2023-12-15 23:45:09,278.12,Wallet Load,Success,UPI,Android
T00030320,U007026,2024-12-28 09:58:53,126.33,P2P Transfer,Success,Net Banking,Android
T00032673,U010818,2023-06-22 18:17:35,44.74,Bill Payment,Success,Wallet,Web
T00027050,U000765,2024-07-28 07:43:26,309.7,Card Spend,Success,Net Banking,Android
T00028890,U004854,2023-09-03 09:24:15,397.35,Bill Payment,Success,Credit Card,Android
T00037399,U002578,2025-01-09 17:14:49,315.95,Bill Payment,Refunded,Wallet,Android
T00049964,U004616,2025-02-21 21:44:22,124.93,Card Spend,Success,Debit Card,iOS
T00036759,U006031,2024-12-09 10:32:43,208.55,Wallet Load,Success,Debit Card,iOS
T00018897,U007033,2024-06-16 20:04:48,59.75,Wallet Load,Success,Debit Card,iOS
T00049312,U010632,2024-07-19 08:58:03,24.68,Wallet Load,Success,UPI,Android
T00043625,U009883,2025-01-29 14:55:19,120.55,Bill Payment,Failed,UPI,iOS
T00000463,U008360,2023-08-07 07:28:56,183.35,Bill Payment,Success,Debit Card,Web
T00024177,U007605,2023-07-03 00:09:10,371.59,Card Spend,Success,Credit Card,Web
T00039177,U000165,2024-08-16 14:38:15,69.38,Wallet Load,Success,Wallet,iOS
T00028284,U002744,2023-03-27 22:33:48,2200.02,Wallet Load,Success,Debit Card,iOS
T00019080,U008714,2023-12-21 13:07:05,121.4,P2P Transfer,Refunded,Wallet,Android
T00046939,U009414,2024-10-27 11:48:13,144.94,Investment,Success,Net Banking,Web
T00035747,U009200,2024-07-12 11:04:22,119.32,P2P Transfer,Success,UPI,Android
T00032292,U005017,2023-01-18 19:50:22,50.37,Wallet Load,Success,Debit Card,Android
T00021803,U003430,2023-03-03 18:40:36,153.23,P2P Transfer,Success,Credit Card,Android
T00022639,U004051,2024-01-01 08:40:53,164.72,P2P Transfer,Success,UPI,iOS
T00044257,U005243,2023-07-13 14:51:06,267.98,Card Spend,Failed,UPI,iOS
T00050356,U004028,2024-02-19 02:59:18,148.96,Wallet Load,Failed,Debit Card,Android
T00027503,U008917,2023-12-06 20:34:10,292.61,Wallet Load,Success,UPI,iOS
T00004029,U007227,2023-11-21 01:58:01,125.79,Investment,Success,UPI,Web
T00030218,U004357,2024-11-23 21:44:57,127.02,Bill Payment,Pending,Credit Card,Android
T00015822,U000385,2024-04-02 09:03:35,34.68,Card Spend,Success,Debit Card,Web
T00027299,U011596,2023-07-27 13:21:11,210.29,Bill Payment,Success,UPI,Android
T00045838,U003808,2023-03-13 19:36:19,176.97,Wallet Load,Success,UPI,iOS
T00038983,U005198,2023-12-16 17:41:42,19.42,P2P Transfer,Success,Debit Card,Android
T00026720,U005486,2023-05-04 09:29:43,202.86,Bill Payment,Refunded,UPI,Android
T00016675,U003528,2024-09-24 23:12:28,35.21,Card Spend,Success,UPI,iOS
T00050355,U009170,2024-04-19 04:33:29,52.85,Wallet Load,Pending,Wallet,iOS
T00010645,U000867,2023-09-21 20:47:30,81.44,Card Spend,Pending,UPI,Android
T00008926,U005476,2024-07-26 21:49:11,20.37,P2P Transfer,Success,UPI,iOS
T00025203,U001935,2024-04-22 08:11:57,85.71,Wallet Load,Failed,Credit Card,Web
T00009059,U006821,2025-01-31 03:59:43,118.68,Card Spend,Success,UPI,Android
T00037374,U006103,2025-01-21 14:59:00,40.93,P2P Transfer,Success,UPI,Android
T00016471,U005899,2025-02-28 15:26:40,353.0,Card Spend,Success,Credit Card,Android
T00022783,U010107,2024-08-30 14:25:28,120.37,Wallet Load,Success,UPI,Android
T00013801,U009264,2024-04-04 09:44:40,138.23,Card Spend,Success,UPI,Android
T00041377,U006136,2023-11-12 01:06:08,370.79,Card Spend,Success,Debit Card,Android
T00026759,U007043,2023-06-03 07:44:37,150.51,P2P Transfer,Failed,UPI,iOS
T00043788,U000199,2024-03-29 03:13:09,173.98,Bill Payment,Success,Wallet,Android
T00026475,U009615,2024-01-08 19:05:50,299.16,P2P Transfer,Success,Credit Card,Android
T00005755,U010760,2024-12-10 15:23:32,429.87,P2P Transfer,Success,UPI,Android
T00046297,U006705,2024-01-13 06:09:39,18.98,P2P Transfer,Success,Net Banking,Android
