user_id,signup_date,age,region,acquisition_channel,kyc_status,signup_month,transaction_count,successful_transactions,total_spend,first_transaction_date,last_transaction_date,active_months,days_since_last_transaction,avg_transaction_amount,engagement_segment
U000021,2024-01-01 06:09:56,42,North,Paid Search,Verified,2024-01,3.0,3.0,375.08,2023-03-13 00:21:19,2023-10-21 20:38:56,3.0,526.0,125.02666666666666,At Risk
U000022,2023-09-28 16:22:52,69,East,Paid Search,Verified,2023-09,2.0,2.0,82.94,2024-02-26 01:21:52,2024-06-05 05:47:02,2.0,298.0,41.47,At Risk
U000023,2023-05-14 06:16:10,45,West,Referral,Verified,2023-05,4.0,3.0,433.84,2023-08-20 11:56:55,2025-03-20 20:09:14,4.0,10.0,108.46,Occasional
U000024,2024-11-07 12:55:21,65,North,Paid Search,Rejected,2024-11,7.0,5.0,1051.69,2023-02-04 01:49:19,2025-02-23 04:53:40,5.0,35.0,150.24142857142857,Engaged
U000025,2024-07-24 13:03:42,56,South,Paid Search,Verified,2024-07,5.0,5.0,398.8,2023-01-13 22:32:28,2025-01-19 16:57:33,5.0,70.0,79.76,Engaged
U000026,2024-04-15 00:31:00,25,Central,Organic,Verified,2024-04,1.0,0.0,52.26,2023-10-25 14:23:32,2023-10-25 14:23:32,1.0,522.0,52.26,At Risk
U000027,2023-10-21 18:17:58,52,East,Organic,Verified,2023-10,2.0,2.0,480.86,2023-09-22 11:53:32,2023-10-14 03:48:07,2.0,533.0,240.43,At Risk
U000028,2024-08-23 14:47:00,64,East,Affiliate,Pending,2024-08,4.0,3.0,662.46,2023-02-16 20:58:51,2024-11-12 06:10:03,4.0,138.0,165.615,Occasional
U000029,2024-02-03 03:55:05,24,West,Affiliate,Verified,2024-02,3.0,3.0,204.0,2023-08-28 06:51:52,2025-01-22 22:55:39,3.0,67.0,68.0,Occasional
U000030,2023-11-20 16:37:00,62,East,Organic,Verified,2023-11,5.0,5.0,443.21,2023-03-02 14:27:05,2024-10-09 08:53:22,5.0,172.0,88.642,Occasional
U000031,2023-11-25 20:03:04,23,North,Paid Search,Verified,2023-11,0.0,0.0,0.0,,,0.0,999.0,0.0,No Activity
U000032,2023-06-15 21:13:20,64,West,Paid Search,Verified,2023-06,2.0,2.0,175.76999999999998,2023-02-15 17:28:05,2025-03-22 18:52:22,2.0,8.0,87.88499999999999,Occasional
U000033,2023-03-09 06:13:16,59,Central,Referral,Pending,2023-03,5.0,4.0,1079.02,2023-09-03 14:44:17,2025-03-26 02:24:21,5.0,4.0,215.804,Engaged
U000034,2024-02-09 20:19:31,26,North,Organic,Verified,2024-02,6.0,3.0,869.98,2023-07-12 22:35:10,2024-09-24 12:09:17,5.0,187.0,144.99666666666667,At Risk
U000035,2024-10-10 03:49:48,56,North,Social,Pending,2024-10,4.0,2.0,149.14000000000001,2023-09-01 05:10:00,2024-07-29 07:03:50,4.0,244.0,37.285000000000004,At Risk
U000036,2023-02-16 14:04:41,24,West,Organic,Rejected,2023-02,6.0,3.0,920.22,2023-04-30 09:30:17,2024-04-12 06:30:41,6.0,352.0,153.37,At Risk
U000037,2024-09-18 13:15:48,48,East,Social,Verified,2024-09,3.0,2.0,242.64999999999998,2023-08-27 02:02:06,2024-12-06 16:21:51,3.0,114.0,80.88333333333333,Occasional
U000038,2024-08-27 04:05:53,66,South,Organic,Pending,2024-08,8.0,6.0,815.64,2023-04-06 11:46:44,2024-07-17 23:19:07,8.0,255.0,101.955,At Risk
U000039,2023-07-22 00:49:47,28,East,Organic,Verified,2023-07,3.0,3.0,230.76,2024-05-19 04:19:15,2025-03-08 00:08:13,3.0,22.0,76.92,Occasional
U000040,2024-04-06 02:45:36,27,West,Organic,Verified,2024-04,2.0,2.0,156.46,2023-10-31 14:29:20,2024-09-15 14:17:51,2.0,196.0,78.23,At Risk
U000041,2023-05-01 14:48:48,40,East,Organic,Verified,2023-05,7.0,7.0,1177.82,2023-03-13 01:29:15,2025-02-06 16:19:20,7.0,52.0,168.26,Engaged
U000042,2024-07-07 09:41:49,37,North,Social,Verified,2024-07,2.0,2.0,554.33,2023-04-14 20:10:04,2023-09-09 01:04:56,2.0,568.0,277.165,At Risk
U000043,2024-05-26 09:09:44,20,North,Paid Search,Verified,2024-05,5.0,5.0,538.63,2023-01-19 13:11:30,2024-08-26 03:19:41,5.0,216.0,107.726,At Risk
U000044,2023-09-16 19:17:41,42,South,Organic,Verified,2023-09,3.0,3.0,1257.81,2023-08-19 09:14:07,2024-09-29 14:05:50,3.0,182.0,419.27,At Risk
U000045,2023-02-19 13:57:30,31,Central,Social,Verified,2023-02,9.0,7.0,859.59,2023-09-27 05:08:44,2025-03-27 09:52:14,8.0,3.0,95.51,Engaged
U000046,2024-12-09 14:37:45,24,East,Organic,Verified,2024-12,10.0,9.0,1168.1100000000001,2023-08-11 00:05:51,2025-03-26 09:07:29,8.0,4.0,116.811,Power User
U000047,2023-11-22 08:26:41,32,South,Organic,Verified,2023-11,4.0,4.0,424.71,2023-08-29 17:51:44,2024-02-10 19:26:02,3.0,414.0,106.1775,At Risk
U000048,2024-10-13 23:28:55,19,Central,Organic,Verified,2024-10,4.0,4.0,494.73,2023-05-08 00:38:42,2024-12-05 23:29:29,4.0,114.0,123.6825,Occasional
U000049,2024-05-09 21:08:27,66,South,Paid Search,Verified,2024-05,7.0,5.0,1172.3799999999999,2023-01-07 18:41:44,2024-12-16 09:07:08,6.0,104.0,167.4828571428571,Occasional
U000050,2024-07-22 05:16:43,70,East,Social,Verified,2024-07,5.0,5.0,556.75,2023-02-26 12:04:52,2024-11-14 16:26:57,4.0,136.0,111.35,Occasional
U000051,2024-07-08 17:26:17,37,North,Organic,Verified,2024-07,2.0,1.0,160.04,2024-12-12 19:33:31,2025-01-02 22:32:21,2.0,87.0,80.02,Occasional
U000052,2023-05-23 02:04:12,64,West,Referral,Rejected,2023-05,11.0,11.0,2465.74,2023-05-04 14:30:29,2024-11-11 07:52:26,7.0,139.0,224.1581818181818,Occasional
U000053,2023-09-23 15:38:01,42,West,Organic,Rejected,2023-09,6.0,3.0,498.03,2023-06-08 07:08:37,2025-03-29 04:43:02,6.0,1.0,83.005,Engaged
U000054,2023-12-07 16:57:07,66,West,Organic,Verified,2023-12,5.0,5.0,1047.84,2023-08-05 02:51:14,2024-11-27 01:44:25,5.0,123.0,209.56799999999998,Occasional
U000055,2023-12-30 09:18:28,27,South,Referral,Verified,2023-12,6.0,5.0,534.73,2023-02-08 00:06:12,2025-01-20 06:01:13,5.0,69.0,89.12166666666667,Engaged
U000056,2023-02-01 23:26:31,33,South,Referral,Verified,2023-02,3.0,0.0,180.06,2023-07-25 18:37:27,2025-03-21 16:10:49,3.0,9.0,60.02,Occasional
U000057,2024-02-03 23:53:51,57,North,Paid Search,Verified,2024-02,2.0,2.0,257.92,2023-03-01 02:22:39,2024-09-09 15:17:12,2.0,202.0,128.96,At Risk
U000058,2023-04-23 15:09:06,29,Central,Organic,Verified,2023-04,5.0,4.0,447.14,2023-01-24 14:01:48,2024-08-18 11:01:05,5.0,224.0,89.428,At Risk
U000059,2024-06-26 15:56:45,61,North,Organic,Rejected,2024-06,4.0,4.0,546.08,2023-11-20 09:49:13,2025-02-26 23:09:57,4.0,32.0,136.52,Occasional
U000060,2024-05-13 15:01:03,40,East,Referral,Verified,2024-05,3.0,3.0,369.68,2023-03-04 11:21:33,2024-12-11 22:10:26,3.0,109.0,123.22666666666667,Occasional
U000061,2024-11-04 10:41:15,39,West,Referral,Verified,2024-11,2.0,1.0,245.3,2024-05-10 22:07:50,2024-09-07 12:12:44,2.0,204.0,122.65,At Risk
U000062,2024-06-27 16:13:58,42,North,Paid Search,Verified,2024-06,2.0,1.0,326.57,2023-02-21 18:35:14,2023-06-05 11:31:52,2.0,664.0,163.285,At Risk
U000063,2023-09-25 15:34:45,60,South,Organic,Pending,2023-09,8.0,7.0,1896.56,2023-01-17 02:43:02,2025-02-26 08:53:16,7.0,32.0,237.07,Engaged
U000064,2024-12-07 06:46:13,18,North,Referral,Verified,2024-12,4.0,3.0,905.02,2023-09-07 02:24:55,2024-07-29 14:23:35,3.0,244.0,226.255,At Risk
U000065,2023-10-27 22:05:53,57,East,Organic,Verified,2023-10,4.0,4.0,1314.69,2023-08-24 20:08:55,2025-02-24 19:34:17,4.0,34.0,328.6725,Occasional
U000066,2023-08-26 20:27:36,59,Central,Referral,Verified,2023-08,3.0,3.0,236.57999999999998,2024-05-06 06:20:01,2024-06-28 04:29:23,2.0,275.0,78.86,At Risk
U000067,2024-10-23 00:59:11,61,South,Referral,Pending,2024-10,6.0,2.0,1223.13,2023-01-16 19:38:00,2025-01-01 13:15:48,6.0,88.0,203.85500000000002,Engaged
U000068,2023-09-28 10:27:14,70,Central,Organic,Verified,2023-09,4.0,4.0,419.47,2023-02-28 18:15:05,2023-08-15 08:27:07,2.0,593.0,104.8675,At Risk
U000069,2023-02-25 17:31:57,59,North,Paid Search,Verified,2023-02,3.0,3.0,420.32,2023-08-27 01:45:40,2024-11-15 16:27:59,3.0,135.0,140.10666666666665,Occasional
U000070,2023-12-09 18:37:04,46,South,Paid Search,Verified,2023-12,2.0,1.0,316.65,2023-01-03 06:54:35,2023-10-02 18:18:28,2.0,545.0,158.325,At Risk
U000071,2024-08-03 20:18:47,42,Central,Referral,Pending,2024-08,6.0,6.0,698.14,2023-01-13 06:55:57,2025-02-01 12:25:34,6.0,57.0,116.35666666666667,Engaged
U000072,2023-05-19 07:32:17,38,Central,Social,Verified,2023-05,1.0,1.0,49.98,2023-04-20 14:30:21,2023-04-20 14:30:21,1.0,710.0,49.98,At Risk
U000073,2023-12-04 22:43:07,61,South,Paid Search,Verified,2023-12,2.0,2.0,202.4,2023-09-21 13:00:33,2024-01-30 10:39:47,2.0,425.0,101.2,At Risk
U000074,2023-04-05 20:13:29,38,West,Organic,Verified,2023-04,5.0,5.0,1713.5700000000002,2023-10-24 17:43:51,2025-01-31 22:24:37,5.0,58.0,342.71400000000006,Engaged
U000075,2024-05-16 03:05:53,48,Central,Paid Search,Verified,2024-05,5.0,4.0,657.45,2023-01-30 03:53:35,2025-02-21 02:59:19,5.0,37.0,131.49,Engaged
U000076,2023-12-14 06:21:01,23,West,Referral,Verified,2023-12,3.0,1.0,1013.31,2023-07-31 03:57:36,2025-03-06 12:49:37,3.0,24.0,337.77,Occasional
U000077,2023-08-30 01:02:23,34,East,Organic,Verified,2023-08,2.0,2.0,112.02,2024-02-24 11:32:08,2024-04-13 12:30:01,2.0,351.0,56.01,At Risk
U000078,2023-06-15 15:27:06,32,North,Referral,Verified,2023-06,2.0,2.0,89.64,2024-10-12 15:30:02,2024-10-14 00:43:47,1.0,167.0,44.82,Occasional
U000079,2024-02-17 02:02:17,41,North,Organic,Verified,2024-02,3.0,3.0,568.77,2023-06-05 01:33:03,2024-09-09 17:36:11,3.0,202.0,189.59,At Risk
U000080,2024-05-03 23:08:28,44,East,Organic,Verified,2024-05,5.0,5.0,590.53,2023-01-29 11:14:30,2025-01-31 02:56:20,4.0,58.0,118.106,Engaged
U000081,2024-11-17 10:09:46,55,East,Organic,Verified,2024-11,7.0,6.0,2471.1,2023-04-10 21:01:23,2024-09-19 17:49:49,5.0,192.0,353.0142857142857,At Risk
U000082,2023-11-16 02:54:05,40,North,Affiliate,Verified,2023-11,3.0,3.0,104.53,2023-10-22 07:28:31,2025-02-21 01:18:03,3.0,37.0,34.843333333333334,Occasional
U000083,2023-04-28 07:15:23,25,South,Referral,Verified,2023-04,10.0,8.0,1682.81,2023-05-06 22:00:06,2025-02-26 10:16:13,7.0,32.0,168.281,Power User
U000084,2024-08-30 20:31:19,46,South,Paid Search,Rejected,2024-08,7.0,6.0,1877.8999999999999,2023-01-27 01:27:45,2025-03-03 14:07:44,7.0,27.0,268.27142857142854,Engaged
U000085,2024-04-04 17:28:14,20,East,Organic,Verified,2024-04,3.0,3.0,174.4,2023-12-10 16:14:16,2025-01-08 21:38:32,3.0,81.0,58.13333333333333,Occasional
U000086,2024-05-26 04:38:40,63,South,Social,Verified,2024-05,7.0,6.0,1200.41,2023-02-08 03:40:11,2024-12-26 17:07:34,4.0,94.0,171.48714285714286,Occasional
U000087,2023-03-12 23:24:38,58,South,Social,Verified,2023-03,3.0,3.0,127.52000000000001,2024-11-06 04:19:14,2025-03-26 04:36:53,2.0,4.0,42.50666666666667,Occasional
U000088,2023-08-17 00:39:48,29,North,Paid Search,Verified,2023-08,3.0,3.0,212.27,2023-07-20 05:50:42,2024-04-01 23:18:52,3.0,362.0,70.75666666666667,At Risk
U000089,2024-07-14 12:37:31,31,Central,Referral,Verified,2024-07,7.0,6.0,918.81,2023-09-15 23:06:30,2025-03-28 11:51:48,7.0,2.0,131.25857142857143,Engaged
U000090,2024-08-30 13:11:30,19,East,Social,Pending,2024-08,3.0,3.0,428.16999999999996,2024-09-17 11:40:49,2025-03-30 21:18:57,2.0,0.0,142.72333333333333,Occasional
U000091,2023-11-14 16:59:45,37,North,Organic,Verified,2023-11,2.0,2.0,758.74,2023-04-06 04:17:45,2024-03-14 02:40:21,2.0,381.0,379.37,At Risk
U000092,2024-08-10 11:28:17,20,South,Organic,Verified,2024-08,4.0,2.0,881.8599999999999,2023-01-20 01:39:30,2024-02-26 05:56:02,4.0,398.0,220.46499999999997,At Risk
U000093,2024-09-06 10:26:29,67,South,Paid Search,Verified,2024-09,3.0,3.0,134.7,2023-08-18 22:04:58,2025-01-20 23:06:34,3.0,69.0,44.9,Occasional
U000094,2023-10-10 20:37:16,25,East,Paid Search,Verified,2023-10,2.0,2.0,436.18,2023-10-03 23:43:57,2024-01-16 00:53:10,2.0,439.0,218.09,At Risk
U000095,2024-10-17 14:29:42,52,East,Referral,Verified,2024-10,3.0,2.0,433.72999999999996,2023-01-19 18:08:07,2024-07-07 01:16:54,3.0,266.0,144.57666666666665,At Risk
U000096,2023-07-30 11:30:30,48,East,Paid Search,Verified,2023-07,4.0,4.0,204.81,2023-03-14 03:38:43,2024-11-20 14:41:19,4.0,130.0,51.2025,Occasional
U000097,2023-06-24 21:03:08,30,West,Organic,Verified,2023-06,2.0,1.0,153.6,2023-02-12 08:59:01,2023-11-08 04:15:49,2.0,508.0,76.8,At Risk
U000098,2024-05-13 05:19:16,60,North,Paid Search,Verified,2024-05,5.0,4.0,447.94,2023-06-23 17:17:21,2025-03-28 11:35:15,5.0,2.0,89.588,Engaged
U000099,2024-04-09 20:04:01,23,South,Referral,Verified,2024-04,5.0,3.0,468.21,2023-02-02 16:07:39,2024-10-02 21:48:34,5.0,179.0,93.642,Occasional
U000100,2023-04-13 00:27:48,65,North,Organic,Pending,2023-04,2.0,2.0,165.07999999999998,2023-09-06 09:48:17,2024-02-21 10:00:31,2.0,403.0,82.53999999999999,At Risk
U000101,2024-08-30 21:32:52,57,South,Paid Search,Verified,2024-08,3.0,2.0,892.56,2023-10-16 02:52:43,2024-11-09 08:11:34,3.0,141.0,297.52,Occasional
U000102,2023-05-26 22:23:30,51,South,Organic,Pending,2023-05,6.0,6.0,424.86,2023-11-11 19:59:46,2024-07-23 22:49:49,6.0,250.0,70.81,At Risk
U000103,2024-08-10 13:49:56,64,West,Affiliate,Verified,2024-08,4.0,3.0,248.26,2023-06-02 08:15:40,2024-08-28 03:34:15,3.0,214.0,62.065,At Risk
U000104,2023-01-06 08:59:13,39,North,Organic,Verified,2023-01,1.0,1.0,95.78,2024-10-07 17:30:16,2024-10-07 17:30:16,1.0,174.0,95.78,Occasional
U000105,2024-08-04 16:40:55,32,East,Organic,Verified,2024-08,2.0,1.0,76.69,2023-08-04 16:54:10,2024-09-01 14:36:05,2.0,210.0,38.345,At Risk
U000106,2024-07-28 10:54:54,26,South,Affiliate,Pending,2024-07,1.0,1.0,99.6,2024-12-13 11:04:36,2024-12-13 11:04:36,1.0,107.0,99.6,Occasional
U000107,2024-07-23 15:58:58,66,South,Organic,Verified,2024-07,5.0,3.0,837.6199999999999,2023-12-25 23:52:27,2024-06-25 21:46:42,4.0,278.0,167.52399999999997,At Risk
U000108,2024-04-30 08:11:13,39,West,Referral,Verified,2024-04,4.0,2.0,954.34,2023-03-11 17:55:58,2024-09-23 04:50:52,4.0,188.0,238.585,At Risk
U000109,2023-12-11 05:51:22,61,North,Paid Search,Verified,2023-12,6.0,5.0,636.08,2023-07-05 15:47:54,2025-02-09 07:18:05,5.0,49.0,106.01333333333334,Engaged
U000110,2024-05-29 18:29:50,35,South,Affiliate,Pending,2024-05,8.0,6.0,1063.3,2023-05-09 22:35:24,2024-12-26 07:03:58,8.0,94.0,132.9125,Occasional
U000111,2023-07-22 07:10:15,68,South,Organic,Verified,2023-07,5.0,4.0,484.6,2023-01-19 22:04:27,2025-01-18 11:24:29,5.0,71.0,96.92,Engaged
U000112,2024-07-23 22:22:21,64,West,Organic,Pending,2024-07,2.0,2.0,599.83,2023-07-12 21:03:04,2024-04-22 02:01:14,2.0,342.0,299.915,At Risk
U000113,2024-02-10 14:56:05,34,North,Organic,Pending,2024-02,5.0,5.0,813.94,2023-02-10 05:47:31,2024-12-07 12:25:31,5.0,113.0,162.788,Occasional
U000114,2023-12-02 00:12:15,43,Central,Social,Verified,2023-12,4.0,2.0,190.12,2023-02-07 10:56:40,2024-07-27 00:11:30,4.0,246.0,47.53,At Risk
U000115,2024-01-05 02:13:17,60,Central,Affiliate,Pending,2024-01,5.0,4.0,862.52,2023-03-16 04:45:29,2024-04-25 09:58:58,4.0,339.0,172.504,At Risk
U000116,2024-02-20 04:20:44,29,West,Organic,Verified,2024-02,2.0,1.0,221.46999999999997,2023-04-06 14:11:18,2024-02-20 16:04:27,2.0,404.0,110.73499999999999,At Risk
U000117,2023-01-28 04:50:08,19,South,Organic,Verified,2023-01,2.0,2.0,183.52,2024-06-19 00:35:46,2024-12-12 08:35:36,2.0,108.0,91.76,Occasional
U000118,2023-04-13 01:14:36,33,West,Organic,Verified,2023-04,3.0,2.0,348.9,2023-08-17 14:29:31,2024-08-13 10:51:54,3.0,229.0,116.3,At Risk
U000119,2023-06-29 04:49:48,49,North,Organic,Pending,2023-06,6.0,6.0,991.91,2023-01-29 11:02:44,2024-09-25 17:05:16,5.0,186.0,165.31833333333333,At Risk
U000120,2023-03-25 14:34:00,25,Central,Organic,Verified,2023-03,5.0,5.0,487.34000000000003,2023-08-10 09:20:30,2024-06-07 02:48:26,5.0,296.0,97.468,At Risk
U000121,2023-11-17 22:01:47,35,East,Social,Verified,2023-11,5.0,5.0,292.45,2023-04-22 01:46:23,2024-12-18 09:00:15,5.0,102.0,58.489999999999995,Occasional
U000122,2024-05-02 22:25:11,66,North,Organic,Verified,2024-05,3.0,2.0,213.66,2024-04-22 19:23:48,2025-01-04 02:54:05,3.0,85.0,71.22,Occasional
U000123,2024-04-22 17:35:37,21,South,Social,Verified,2024-04,6.0,5.0,694.97,2024-01-01 17:38:05,2025-02-04 18:21:38,5.0,54.0,115.82833333333333,Engaged
U000124,2023-12-10 21:36:19,20,West,Organic,Verified,2023-12,6.0,6.0,744.01,2023-07-01 00:00:41,2025-02-25 18:28:46,5.0,33.0,124.00166666666667,Engaged
U000125,2024-09-16 05:00:06,40,Central,Affiliate,Verified,2024-09,4.0,4.0,1038.9,2023-05-12 02:40:50,2024-06-30 03:42:43,4.0,273.0,259.725,At Risk
U000126,2024-02-17 14:56:11,18,East,Paid Search,Verified,2024-02,2.0,1.0,547.1,2024-07-06 06:45:00,2024-10-17 12:47:52,2.0,164.0,273.55,Occasional
U000127,2023-02-27 19:32:18,19,East,Organic,Verified,2023-02,8.0,7.0,970.65,2023-04-15 21:03:11,2025-01-02 10:56:22,8.0,87.0,121.33125,Engaged
U000128,2024-07-12 10:46:47,27,West,Affiliate,Verified,2024-07,6.0,6.0,577.6,2023-03-13 02:58:57,2024-10-15 17:55:46,6.0,166.0,96.26666666666667,Occasional
U000129,2024-02-24 11:00:10,23,West,Organic,Pending,2024-02,3.0,2.0,418.14,2023-03-20 17:24:03,2024-11-14 01:24:54,3.0,136.0,139.38,Occasional
U000130,2024-04-08 08:15:53,60,West,Affiliate,Verified,2024-04,3.0,2.0,498.38,2023-07-12 09:05:08,2024-12-14 11:10:46,3.0,106.0,166.12666666666667,Occasional
U000131,2024-02-17 17:20:26,24,South,Referral,Verified,2024-02,5.0,4.0,903.2,2023-04-09 15:15:17,2025-01-06 02:31:03,5.0,83.0,180.64000000000001,Engaged
U000132,2024-02-09 02:42:39,45,East,Social,Pending,2024-02,4.0,3.0,650.94,2024-02-12 15:26:46,2024-07-23 19:04:08,4.0,250.0,162.735,At Risk
U000133,2023-03-08 02:43:25,55,West,Affiliate,Verified,2023-03,5.0,5.0,418.35,2023-07-02 05:28:49,2025-03-27 09:38:21,5.0,3.0,83.67,Engaged
U000134,2024-02-13 05:18:34,51,North,Organic,Verified,2024-02,4.0,4.0,891.61,2023-10-06 23:20:53,2024-09-25 16:46:43,4.0,186.0,222.9025,At Risk
U000135,2024-08-03 06:52:08,52,South,Paid Search,Verified,2024-08,1.0,0.0,130.37,2023-09-26 18:40:07,2023-09-26 18:40:07,1.0,551.0,130.37,At Risk
U000136,2023-08-10 21:12:20,36,North,Referral,Verified,2023-08,1.0,1.0,59.69,2024-11-04 14:35:38,2024-11-04 14:35:38,1.0,146.0,59.69,Occasional
U000137,2024-03-16 01:43:33,65,South,Organic,Verified,2024-03,1.0,1.0,153.69,2023-06-04 21:18:11,2023-06-04 21:18:11,1.0,665.0,153.69,At Risk
U000138,2023-01-23 11:55:42,21,West,Paid Search,Pending,2023-01,7.0,5.0,1895.3100000000002,2023-12-06 13:28:21,2024-08-06 03:20:26,4.0,236.0,270.75857142857143,At Risk
U000139,2023-09-11 16:11:09,23,North,Organic,Verified,2023-09,4.0,3.0,360.78,2023-04-16 22:26:10,2024-08-29 22:46:41,3.0,213.0,90.195,At Risk
U000140,2023-11-15 19:17:19,63,East,Referral,Verified,2023-11,6.0,5.0,559.74,2023-02-13 05:22:41,2025-01-16 17:23:54,5.0,73.0,93.29,Engaged
U000141,2024-12-18 09:34:35,21,North,Paid Search,Verified,2024-12,4.0,4.0,1474.09,2023-01-04 06:11:30,2024-12-27 07:24:49,3.0,93.0,368.5225,Occasional
U000142,2023-06-06 15:31:24,28,Central,Organic,Pending,2023-06,7.0,7.0,1723.25,2023-02-22 20:32:12,2024-11-20 19:29:21,7.0,130.0,246.17857142857142,Occasional
U000143,2023-07-21 21:07:36,27,West,Social,Verified,2023-07,3.0,3.0,207.45,2023-04-22 22:55:14,2024-01-06 03:42:17,3.0,449.0,69.14999999999999,At Risk
U000144,2023-10-26 05:25:18,19,East,Affiliate,Verified,2023-10,4.0,4.0,624.61,2023-12-10 19:19:05,2024-09-27 16:05:26,3.0,184.0,156.1525,At Risk
U000145,2024-12-25 15:30:05,24,West,Organic,Verified,2024-12,1.0,1.0,99.43,2023-06-07 09:44:24,2023-06-07 09:44:24,1.0,662.0,99.43,At Risk
U000146,2024-09-14 23:37:18,48,North,Organic,Verified,2024-09,1.0,1.0,91.89,2023-06-13 15:11:54,2023-06-13 15:11:54,1.0,656.0,91.89,At Risk
U000147,2023-01-26 07:49:14,53,West,Referral,Verified,2023-01,4.0,2.0,312.89,2024-07-30 19:51:54,2025-03-23 17:28:33,4.0,7.0,78.2225,Occasional
U000148,2023-06-20 18:37:11,22,West,Organic,Pending,2023-06,3.0,3.0,284.13,2023-02-01 10:41:28,2024-09-29 07:49:22,3.0,182.0,94.71,At Risk
U000149,2024-08-22 19:44:10,67,North,Referral,Verified,2024-08,2.0,1.0,242.32999999999998,2023-02-14 13:27:39,2025-01-30 05:11:15,2.0,59.0,121.16499999999999,Occasional
U000150,2023-02-12 13:27:50,23,Central,Referral,Verified,2023-02,4.0,2.0,705.54,2023-06-07 11:29:27,2024-10-02 21:56:43,4.0,179.0,176.385,Occasional
